strain,WBGene00000367,WBGene00001171,WBGene00001187,WBGene00001202,WBGene00002149,WBGene00002235,WBGene00002242,WBGene00003558,WBGene00004830,WBGene00004831,WBGene00006742,WBGene00007176,WBGene00014261,WBGene00022240
CX11264,8.340920962345725,6.949624012547151,8.891958669340672,7.120226638909841,6.472721802982795,7.385699860504492,6.900146276362582,7.019093434111447,7.9307301417764,8.443802140553961,8.34216232535323,7.275572526766773,7.943763239740728,7.121501220698787
CX11271,7.850787824255052,6.612956659866148,8.4235403401721,6.99754155461244,6.536373389953789,7.317239340048665,6.839916388998003,7.05143458807411,7.433842116740355,8.009554018066508,8.058350740364478,7.339987490614974,7.633266966568302,6.863113772015322
CX11276,7.632573124409166,6.673861493728819,7.97598244975738,6.821020523463236,6.482515716303889,7.254302749668685,6.483393826792477,6.810297867654543,7.2585083801367185,7.756959730650758,7.729107836154478,6.865593655777534,7.2945293808225005,6.743567332312639
CX11285,7.886528785392292,6.624017406080306,8.200575302009375,6.956215876004626,6.565846479455313,7.248384355183154,6.736469183679721,6.83944088464973,7.40470487072551,7.870312366713747,7.8682654428366146,7.1423150426648485,7.495024003098991,6.7871825042164655
CX11292,8.186366534418932,6.882146041847809,8.727927691071661,7.038506535136421,6.445497128077939,7.195224385034793,6.798193849937745,6.8825261412524705,8.007664322802807,8.383598995750168,8.193091938268317,7.4191210842594435,7.607971667681376,6.662514998921067
CX11307,8.010976233170748,6.824608308062505,8.51832384110279,7.190079372344878,6.481095916152519,7.434546125028257,6.850849593330806,7.032635942900478,7.711494046333291,8.268978537931925,8.055654700740062,7.43879186296086,7.628848809591287,6.93189949161071
CX11314,7.451707947918624,6.388592733188068,7.698541543540277,6.844913443190966,6.401806047370509,7.111004092283095,6.601135732108917,6.921109368408474,7.1543200497996144,7.519256835431449,7.6181451806404645,6.978786992353694,6.97949589831181,6.68247440021733
CX11315,8.11152616588188,6.868541404487815,8.401351851531203,7.031299533568587,6.599808719642058,7.332443835430175,6.7321215045976315,6.851278247412179,7.491856056280337,8.098339116339856,8.270891746287974,7.3891863793429176,7.570292777206705,6.787002129006071
DL200,7.914416644159775,6.526258086507847,8.187227115555824,6.953571781078261,6.533809136114109,7.205515508577192,6.605041992587934,6.8390408603931325,7.452336588548721,7.9033405838893644,7.818600855736947,7.117791860364526,7.402117895217891,6.797072388099955
DL226,7.651154120638446,6.748333240449531,7.933379022438331,6.762680725910306,6.395065093676619,7.400564267271247,6.734514541090715,6.8187626884577694,7.386655810500775,7.781044092403294,7.713752389677319,7.0199577869497976,7.433586039789376,6.724413614529288
DL238,7.836893629694657,6.786994165122183,7.878913412334474,6.866346722187726,6.38764729431115,6.931501834609749,6.509038985825593,6.863481659259403,7.295557520383037,7.9275224102544195,7.627036101351323,7.011144424882694,7.218797844070265,6.766862777462418
ECA189,7.987499939325846,6.933403178685929,8.003174867732856,7.036916926627848,6.537099167277298,7.404128622298958,6.857495557516501,6.7939402973140615,7.369332133090416,7.902201324838386,7.78626851547631,7.027811578750033,7.692933426865512,6.7639743871162725
ECA348,7.985576615137421,6.899093308470376,8.325242643539394,7.0619771669651525,6.43325180497688,7.111628145678097,6.773258179963057,6.808752701857203,7.612014035908459,7.945181206419117,7.900930889064992,7.265278944113349,7.465987843428244,6.769103010319011
ECA349,8.199475724455787,6.6945202205211105,9.002175433923822,7.170180251511478,6.546207622681422,7.325838890718023,6.911123763335786,6.978898852236694,8.046950901650378,8.443612467261262,8.38444184681395,7.305173578619951,8.045607883403934,7.010716400158828
ECA363,8.309494090046389,6.81541023804616,8.820219253696324,7.100544634374214,6.722321894567521,7.385452415115335,6.862492202833743,7.02198410113947,7.936147759886794,8.327847876340208,8.291313738013903,7.4126126235237555,7.928609334061058,7.115540399786497
ECA372,8.016273931532137,6.795511684574477,8.326276181624431,6.904101007665563,6.613483201316858,7.1316176624640315,6.718100262171062,6.958435413103435,7.50310706596297,7.860893571886096,7.927978602566961,7.2014234435019056,7.420972417116835,6.736467612896918
